date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
6/3/2021,Meridian,11:36,11:50,17.2,16.2,20.2,,0.7,5.2,15.5,18.8,21.6,,0.6,3.3,12.6,18.4,,
6/3/2021,Pfeiler,9:45,10:16,15.9,17.5,21,,0,1.8,14.3,22,19.3,,0,3.6,15.9,18.8,,
6/4/2021,Brush Creek Trail,10:00,10:35,47.2,43,20.5,,1,1.8,26.2,37.2,22.2,,0.4,3,21.2,30.8,1,
6/4/2021,Brush Creek Trail,11:59,12:40,47.2,43,24,,0,4.6,11.7,15.8,25.3,,1.8,4.6,10.1,18,2,
6/4/2021,Brush Creek Trail,14:00,14:30,47.2,43,26.4,,1.7,5.6,9.4,17.1,26.1,,1.8,5.2,10.7,17.4,3,
6/4/2021,Brush Creek Hill,10:00,10:40,8.1,7.3,28.7,,1.3,4.9,10.2,13.7,27.9,,1.1,4.9,9,13.9,1,
6/4/2021,Brush Creek Hill,12:00,12:32,8.1,7.3,30.2,,0,3.5,4.5,12.7,25.1,,0,6.3,8.8,16.4,2,
6/4/2021,Brush Creek Hill,13:55,14:29,8.1,7.3,20.4,,0,2,28.6,35.7,27,,0,2.2,11,19.9,3,
6/7/2021,Avery Picnic,10:40,12:10,12.6,12,19.5,,0,0,23,29.5,19.5,,0,2.1,15.5,19.6,,
6/7/2021,403 Bench,10:28,11:07,18.1,14.3,19.5,,0,3.7,15.3,20.2,23.3,,1,2.8,12.5,16.8,,
6/7/2021,Rustlers Gulch,12:56,13:39,16.4,13.6,23.7,,1.1,2.7,16.8,21.4,24.1,,0,1.4,11.4,15.7,,
6/8/2021,Ohio Pass Low,9:44,10:06,13.5,10.5,20.1,,0.3,1.7,22.4,28,20,,0,1.2,18.2,26.5,,
6/8/2021,Lake Irwin,12:40,12:55,14.4,14.2,26.6,,0,1.2,6.1,10.6,25,,0,1.9,6.1,9.1,,smoky
6/8/2021,Coal Creek,13:21,13:30,9.6,14.5,24.5,,1.4,4.2,4.4,9.8,22.7,,1,7.2,6.2,10.5,,smoky
6/8/2021,Ohio Pass High,11:32,12:10,31,14.7,22.3,,0,4.4,3.6,7.6,20.7,,0,4.7,8.2,14.7,,end time estimated
6/9/2021,Stupid Falls,10:25,10:57,10.4,10.8,27.4,,0,2,3.7,10.8,27.1,,0,2.1,5.6,15.7,1,Temperature based on kestrel thing was suspiciously high (felt like 80 max)
6/9/2021,Stupid Falls,12:06,12:42,10.4,10.8,22.7,,0,1.3,2.2,15.4,23,,0,4.2,9.8,18.2,2,
6/9/2021,Stupid Falls,14:00,14:30,10.4,10.8,27,,0,1.7,5,15.2,30.5,,0,2.6,4.6,13.5,3,"Dont actually think it was that hot though (kestrel thing could be incorrect, see other note)"
6/9/2021,Kebler Pass,10:00,10:42,35.4,24.7,22.1,,1,3.7,2.6,6.8,21.7,,0,4.4,2.9,5.4,1,
6/9/2021,Kebler Pass,12:00,12:35,35.4,24.7,23.4,,1.1,4.3,3,6.5,23.5,,0,1.5,1.9,4.7,2,
6/9/2021,Kebler Pass,14:00,14:29,35.4,24.7,30.2,,0,4.8,0.5,3.9,30.3,,0,0.3,0.4,4.4,3,
6/10/2021,Brush Creek Trail,10:00,10:30,39,29.3,23.7,,0,0,10.4,16.4,25,,0,2.4,6.4,13.5,1,
6/10/2021,Brush Creek Trail,12:00,12:26,39,29.3,23.6,,0.4,2.6,6.6,12.5,22,,0.6,4.2,11.2,15.5,2,
6/10/2021,Brush Creek Trail,14:00,14:28,39,29.3,22.8,,0.5,3.6,6.6,11.3,24.8,,0,2.5,2.4,7.1,3,
6/10/2021,Brush Creek Hill,10:02,10:38,9.7,9.1,22.7,,0.4,1.5,4.2,10,27.6,,0,1.7,4.5,15.6,1,
6/10/2021,Brush Creek Hill,11:59,12:32,9.7,9.1,26.6,,0,1.2,2.8,11.8,24.7,,0,2,7.7,17,2,
6/10/2021,Brush Creek Hill,13:59,14:40,9.7,9.1,24.1,,1.1,4.3,6.8,12.2,26,,2.7,6.2,6.4,11.4,3,
6/11/2021,Gothic Town,10:17,11:12,,,23.7,,0,2.3,3.9,11.9,24,,0,3.3,3.4,16.5,,soil moisture probe with other team
6/11/2021,Meridian,10:40,11:15,12,9.6,20.1,,0.3,5.1,5.3,12.6,22.1,,0,5.3,8.3,13.5,,
6/11/2021,Wash 3C,13:38,14:17,12,8.9,22.9,,0,2.6,6.8,13.3,,,0,3.6,4.2,11,,
6/11/2021,Pfeiler,12:29,13:07,8,13,23.5,,0,2.2,6.3,12,19.1,,0,4.9,7.2,12.3,,
6/14/2021,Rustlers Gulch,10:10,10:54,10.7,9,22.1,,2.1,4.2,7,14.5,24.2,,0.5,4.1,8,15.8,1,
6/14/2021,Rustlers Gulch,12:00,12:44,10.7,9,27.6,,0.6,4.3,0,8.6,28.2,,0,1.7,0,2.8,2,
6/14/2021,Rustlers Gulch,13:59,14:30,10.7,9,27.7,,1.8,6.5,1.1,7.4,28,,0,3.8,0,6.4,3,
